"","District_Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"856","Vanlue Local","Hancock","Region 1",88.5,96.95,3.25,0,0,0,0,1236,65,1171,0.052588996763754,37,551,386,262,0.970064724919094
"857","Vermilion Local","Erie","Region 2",607.333333333333,93.9333333333333,13.6,0,0,0,0,10774,767,10007,0.0711899016149991,945,3649,3215,2965,0.912288843512159
"858","Versailles Exempted Village","Darke","Region 10",436,97.5,1.16666666666667,0,0,0,0,3865,155,3710,0.0401034928848642,196,1720,1003,946,0.949288486416559
"859","Vinton County Local","Vinton","Region 16",391.4,93.96,14.76,0,0,24.5,24.5,9037,1332,7705,0.147394046696913,1717,3970,2211,1139,0.810003319685736
"860","Wadsworth City","Medina","Region 8",570.25,95.8625,5.2875,0,2.1,0,2.1,19810,992,18818,0.0500757193336699,678,5760,5756,7616,0.965774861181222
"861","Walnut Township Local","Fairfield","Region 11",244,93.9,14,0,0,5,5,3378,257,3121,0.0760805210183541,350,1408,1120,500,0.896388395500296
"862","Wapakoneta City","Auglaize","Region 6",607.4,95.12,11.3,0,0,0,0,13118,1124,11994,0.0856837932611679,956,5832,4505,1825,0.927123037048331
"863","Warren City","Trumbull","Region 5",952,89.88,34.26,0,223.84,332,555.84,22313,6429,15884,0.288127997131717,2896,9978,6409,3030,0.870210191368261
"864","Warren Local","Washington","Region 16",503,95.075,10.975,0,0,4.25,4.25,10542,888,9654,0.0842344906089926,945,4259,3426,1912,0.910358565737052
"865","Warrensville Heights City","Cuyahoga","Region 3",329.6,92.08,24.2,0,49.8,41.2,91,9824,1546,8278,0.157369706840391,850,3343,4170,1461,0.913477198697068
"866","Washington-Nile Local","Scioto","Region 15",478,94.4,11.2333333333333,0,15.6666666666667,0,15.6666666666667,5425,999,4426,0.184147465437788,701,2501,1545,678,0.870783410138249
"867","Washington Court House City","Fayette","Region 14",540.5,93.625,15.225,0,13.5,0,13.5,9149,1423,7726,0.155536124166576,1295,4230,2017,1607,0.858454475899005
"868","Washington Local","Lucas","Region 1",634.545454545455,93.7,16.8,0,43.5909090909091,27.8181818181818,71.4090909090909,34195,3739,30456,0.109343471267729,2950,11574,13670,6001,0.91373007749671
"869","Washington Park Community School","Cuyahoga","Region 3",207,91.5,28.9,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
