,NAME,District_Name.1,total_population,below_poverty_num,above_poverty_num,poverty_percentage,tot_less_than_HS,tot_HS,tot_some_college,tot_bachelor_plus,HS_PLUS_percentage
391,"Northeastern Local School District (Champaign and Clark Counties), Ohio",Northeastern Local,16235,905,15330,0.055743763,1024,5834,5412,3965,0.936926394
392,"Northeastern Local School District (Defiance County), Ohio",Northeastern Local,4531,223,4308,0.049216508,249,1840,1561,881,0.945045244
396,"Northridge Local School District (Delaware, Knox, and Licking Counties); Ohio",Northridge Local,6809,204,6605,0.029960347,500,2289,2292,1728,0.926567778
397,"Northridge Local School District (Montgomery County), Ohio",Northridge Local,6672,1522,5150,0.228117506,1403,2698,2038,533,0.789718225
398,"Northwest Local School District (Butler and Hamilton Counties), Ohio",Northwest Local,51927,3039,48888,0.058524467,3672,17209,16272,14774,0.929285343
399,"Northwest Local School District (Scioto County), Ohio",Northwest Local,6111,969,5142,0.158566519,1103,3008,1415,585,0.819505809
400,"Northwest Local School District (Stark, Summit, and Wayne Counties); Ohio",Northwest Local,9709,482,9227,0.04964466,456,3165,3620,2468,0.953033268
401,"Northwestern Local School District (Ashland and Wayne Counties), Ohio",Northwestern Local,5310,436,4874,0.082109228,571,2396,1603,740,0.892467043
402,"Northwestern Local School District (Champaign and Clark Counties), Ohio",Northwestern Local,7547,383,7164,0.050748642,541,2928,2214,1864,0.928315887
432,"Perry Local School District (Allen County), Ohio",Perry Local,2688,340,2348,0.126488095,517,1198,812,161,0.80766369
433,"Perry Local School District (Lake County), Ohio",Perry Local,6321,370,5951,0.058535042,499,2321,2028,1473,0.921056795
434,"Perry Local School District (Stark County), Ohio",Perry Local,21494,1409,20085,0.065553178,1626,9141,6876,3851,0.924350982
463,"Riverside Local School District (Geauga and Lake Counties), Ohio",Riverside Local,26186,1515,24671,0.057855343,1280,7962,8812,8132,0.951118919
464,"Riverside Local School District (Logan County), Ohio",Riverside Local,2425,197,2228,0.081237113,292,1264,608,261,0.879587629
491,"Southeast Local School District (Holmes, Stark, and Wayne Counties); Ohio",Southeast Local,9657,892,8765,0.09236823,4703,2853,1173,928,0.512995754
492,"Southeast Local School District (Portage County), Ohio",Southeast Local,8043,447,7596,0.055576278,635,3860,2313,1235,0.92104936
493,"Southeastern Local School District (Clark and Greene Counties), Ohio",Southeastern Local,3239,217,3022,0.066995986,250,1250,1117,622,0.922815684
494,"Southeastern Local School District (Ross County), Ohio",Southeastern Local,4442,585,3857,0.131697434,511,2396,891,644,0.884961729
495,"Southern Local School District (Columbiana and Jefferson Counties), Ohio",Southern Local,3876,518,3358,0.133642931,478,1996,971,431,0.876676987
496,"Southern Local School District (Hocking and Perry Counties), Ohio",Southern Local,2581,472,2109,0.182874855,380,1188,765,248,0.852770244
497,"Southern Local School District (Meigs County), Ohio",Southern Local,3426,475,2951,0.138645651,664,1383,934,445,0.806187974
504,"Springfield Local School District (Lucas County), Ohio",Springfield Local,20604,1744,18860,0.084643758,1478,4588,6563,7975,0.928266356
505,"Springfield Local School District (Mahoning County), Ohio",Springfield Local,5566,514,5052,0.092346389,224,2429,1550,1363,0.959755659
506,"Springfield Local School District (Portage and Summit Counties), Ohio",Springfield Local,13734,1334,12400,0.097131207,1491,5976,4015,2252,0.891437309
588,"Western Reserve Local School District (Erie and Huron Counties), Ohio",Western Reserve Local,4354,133,4221,0.030546624,488,2051,1189,626,0.887919155
589,"Western Reserve Local School District (Mahoning County), Ohio",Western Reserve Local,3165,116,3049,0.036650869,269,1372,926,598,0.915007899
