"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"572","New Lexington School District","Perry","Region 16",419.25,93.55,16.075,0,8.375,10.25,18.625
"573","New London Local","Huron","Region 2",289,94.9666666666667,10.6333333333333,0,0,0,0
"574","New Miami Local","Butler","Region 13",217.666666666667,89.8666666666667,36.3333333333333,0,12.6666666666667,0,12.6666666666667
"575","New Philadelphia City","Tuscarawas","Region 12",443.714285714286,94.7285714285714,10.8714285714286,0,7.85714285714286,11.7142857142857,19.5714285714286
"576","New Richmond Exempted Village","Clermont","Region 13",460.4,94.38,12.38,0,7.86,25.1,32.96
"577","New Riegel Local","Seneca","Region 7",196,96.45,3.9,0,0,0,0
"578","Newark City","Licking","Region 11",537.75,91.9666666666667,21.0333333333333,0,62.4,126.916666666667,189.316666666667
"579","Newbury Local","Geauga","Region 4",166,95.35,9.75,0,0,5,5
"580","Newcomerstown Exempted Village","Tuscarawas","Region 12",243.5,93.7,15.975,0,6.25,7.75,14
"581","Newton Falls Exempted Village","Trumbull","Region 5",240.25,92.6,20.525,0,0,13.5,13.5
"582","Newton Local","Miami","Region 10",294,96,3.15,0,0,0,0
"583","Niles City","Trumbull","Region 5",552.5,91.25,29.25,0,45.9,13.875,59.775
"584","Noble Academy-Cleveland","Cuyahoga","Region 3",434,94.3,14.7,0,133,203,336
"585","Noble Academy-Columbus","Franklin","Region 11",334,92.7,22.5,0,13,0,13
"586","Noble Local","Noble","Region 12",421.5,93.1,18.25,0,0,0,0
"587","Nordonia Hills City","Summit","Region 8",587.166666666667,96.0333333333333,5.18333333333333,0,0,0,0
"588","North Baltimore Local","Wood","Region 1",201.333333333333,95.5333333333333,9,0,3.33333333333333,0,3.33333333333333
"589","North Canton City","Stark","Region 9",689,95.7,6.28333333333333,0,6.83333333333333,6,12.8333333333333
"590","North Central Academy","Seneca","Region 1",91,88.7,41.3,0,16,0,16
"591","North Central Local","Williams","Region 1",287.5,96.05,4.2,0,0,0,0
"592","North College Hill City","Hamilton","Region 13",518.333333333333,88.4666666666667,39.4,0,178.166666666667,0,178.166666666667
"593","North Dayton School Of Science & Discovery","Montgomery","Region 10",621,91.5,32.4,0,239.5,0,239.5
"594","North Fork Local","Licking","Region 11",388,94.55,12.625,0,11.375,10.5,21.875
"595","North Olmsted City","Cuyahoga","Region 3",464.375,94.575,11.125,0,24,47.3125,71.3125
"596","North Ridgeville City","Lorain","Region 2",865.8,94.88,9.88,0,18.38,0,18.38
"597","North Royalton City","Cuyahoga","Region 3",786.2,95.98,5.22,0,16.34,19.3,35.64
"598","North Union Local School District","Union","Region 11",498.666666666667,93.8333333333333,14.0666666666667,0,9.93333333333333,14.9333333333333,24.8666666666667
"599","Northeastern Local","Clark","Region 10",444.285714285714,94.6857142857143,12.0571428571429,0,1.92857142857143,5.28571428571429,7.21428571428571
"600","Northeastern Local","Defiance","Region 1",267.5,95.775,6.35,0,0,0,0
"601","Northern Local","Perry","Region 12",438.6,95,8.96,0,0,0,0
"602","Northland Preparatory and Fitness Academy","Franklin","Region 11",205,90.3,34,0,34,0,34
"603","Northmont City","Montgomery","Region 10",616.375,96.0125,6.3625,0,30.7125,0,30.7125
"604","Northmor Local","Morrow","Region 7",523,94.65,11.75,0,9.5,0,9.5
"605","Northridge Local","Licking","Region 11",280.5,94.85,9.85,0,0,14.375,14.375
"606","Northridge Local","Montgomery","Region 10",386.25,91.4,32.325,0,46.875,20.75,67.625
"607","Northwest Local","Hamilton","Region 13",836.3,93.3,17.67,1,170.87,1.23,173.1
"608","Northwest Local","Scioto","Region 15",443.666666666667,93,18.5666666666667,0,6,11.3333333333333,17.3333333333333
"609","Northwest Local","Stark","Region 9",448.25,99.5,0.025,0,3,6.25,9.25
"610","Northwestern Local","Clark","Region 10",787,94.95,9.55,0,12.25,0,12.25
"611","Northwestern Local","Wayne","Region 9",443.666666666667,95.3333333333333,8.4,0,0,20.3333333333333,20.3333333333333
"612","Northwood Local Schools","Wood","Region 1",439.5,94.45,14.8,0,8,0,8
"613","Norton City","Summit","Region 8",618,94.05,13.975,0,7.125,23.95,31.075
"614","Norwalk City","Huron","Region 2",445.833333333333,94.2666666666667,14.4833333333333,0,0,0,0
"615","Norwayne Local","Wayne","Region 9",469,95.5666666666667,7.13333333333333,0,0,11.3333333333333,11.3333333333333
"616","Norwood City","Hamilton","Region 13",315.333333333333,91.5833333333333,25.6666666666667,0,51.25,32.3333333333333,83.5833333333333
"617","Oak Hill Union Local","Jackson","Region 16",581,93.1,19.65,0,5,8.5,13.5
"618","Oak Hills Local","Hamilton","Region 13",821.888888888889,94.2,13.4777777777778,0,53.3111111111111,0,53.3111111111111
"619","Oakstone Community School","Franklin","Region 11",248,94.2,13.7,0,0,0,0
"620","Oakwood City","Montgomery","Region 10",406.8,96.24,3.32,0,0,0,0
"621","Oberlin City Schools","Lorain","Region 2",242.5,92.6,20.425,0,23,2.75,25.75
"622","Ohio College Preparatory School","Cuyahoga","Region 3",297,87.8,53.6,0,65,0,65
"623","Ohio Connections Academy, Inc","Cuyahoga","Region 11",4362,97,7.5,0,0,0,0
"624","Ohio Construction Academy","Franklin","Region 11",52,74.9,58.5,0,0,0,0
"625","Ohio Virtual Academy","Lucas","Region 1",12702,95.7,9.2,0,0,0,0
"626","Old Brook High School","Cuyahoga","Region 3",158,59.4,96.8,0,0,0,0
"627","Old Fort Local","Seneca","Region 7",308,96.15,4.7,0,0,0,0
"628","Olentangy Local","Delaware","Region 11",858.416666666667,96.0916666666667,4.59583333333333,0,1.97083333333333,1.8125,3.78333333333333
"629","Olmsted Falls City","Cuyahoga","Region 3",709.8,95.28,8.54,0,17.8,0,17.8
"630","Ontario Local","Richland","Region 7",674.333333333333,95.1666666666667,8.86666666666667,0,24.6666666666667,18.1666666666667,42.8333333333333
"631","Orange City","Cuyahoga","Region 3",648,95,9.56666666666667,0,5.66666666666667,8.66666666666667,14.3333333333333
"632","Orchard Park Academy","Cuyahoga","Region 3",159,89.9,35.7,0,36,0,36
"633","Oregon City","Lucas","Region 1",590.5,94.5,10.85,0,7.66666666666667,38.6666666666667,46.3333333333333
"634","Orion Academy","Hamilton","Region 13",498,87.2,53.7,0,196,0,196
"635","Orrville City","Wayne","Region 9",507,95.4,9.23333333333333,0,11.3333333333333,8.66666666666667,20
"636","Osnaburg Local","Stark","Region 9",281,95.2666666666667,8.43333333333333,0,0,4.66666666666667,4.66666666666667
"637","Otsego Local","Wood","Region 1",508.666666666667,95.6666666666667,7.76666666666667,0,0,0,0
"638","Ottawa-Glandorf Local","Putnam","Region 1",496.333333333333,96.6333333333333,3.9,0,4.83333333333333,0,4.83333333333333
"639","Ottawa Hills Local","Lucas","Region 1",491,96.5,2.9,0,0,0,0
"640","Ottoville Local","Putnam","Region 1",223,96.9,3,0,0,0,0
"641","Painesville City Local","Lake","Region 4",553.2,92.9,20.88,0,59.3,37.2,96.5
"642","Paint Valley Local","Ross","Region 15",281,93.6,15.4666666666667,0,30,0,30
"643","Pandora-Gilboa Local","Putnam","Region 1",171.333333333333,96.2666666666667,3.73333333333333,0,0,0,0
"644","Par Excellence Academy","Licking","Region 11",253,92.4,24.5,0,22.5,0,22.5
"645","Parkway Local","Mercer","Region 6",334,95.3666666666667,7,0,0,4,4
"646","Parma City","Cuyahoga","Region 3",680.857142857143,93.9428571428571,14.6214285714286,0,28.3928571428571,0,28.3928571428571
"647","Pathway School of Discovery","Montgomery","Region 10",745,92.5,23.8,0,128,0,128
"648","Patrick Henry Local","Henry","Region 1",275.666666666667,95.2,9.26666666666667,0,0,0,0
"649","Patriot Preparatory Academy","Franklin","Region 11",596,94.7,10,0,85,86,171
"650","Paulding Exempted Village","Paulding","Region 1",353.5,94.725,11.775,0,6,17.5,23.5
"651","Performance Academy Eastland","Franklin","Region 11",342,92.6,23.6,0,76.5,0,76.5
"652","Perkins Local","Erie","Region 2",471.5,95.425,7.65,0,0,18.25,18.25
"653","Perry Local","Allen","Region 6",355.5,93.2,19.7,0,52,381.5,433.5
"654","Perry Local","Lake","Region 4",536,94.9333333333333,9.76666666666667,0,8.33333333333333,0,8.33333333333333
"655","Perry Local","Stark","Region 9",575,95.5125,7.3875,0,7.475,38.4375,45.9125
"656","Perrysburg Exempted Village","Wood","Region 1",754.571428571429,96.2428571428571,4.78571428571429,0,0,0,0
"657","Pettisville Local","Fulton","Region 1",262,95.9,4.95,0,0,0,0
"658","Phoenix Community Learning Ctr","Hamilton","Region 13",473,83.8,68.3,0,0,0,0
"659","Pickerington Local","Fairfield","Region 11",693.266666666667,94.2666666666667,12.04,0,12.6,32.7333333333333,45.3333333333333
"660","Pike-Delta-York Local","Fulton","Region 1",399,94.9,9.23333333333333,0,0,4.43333333333333,4.43333333333333
"661","Pinnacle Academy","Cuyahoga","Region 3",717,92.9,23.5,0,0,0,0
"662","Piqua City","Miami","Region 10",634.2,93.78,16.42,0,28.9,0,28.9
"663","Plain Local","Stark","Region 9",673.555555555556,95.1888888888889,9.64444444444444,0,30.1111111111111,5.55555555555556,35.6666666666667
"664","Pleasant Local","Marion","Region 7",327,94.35,14.3,0,2.75,3.625,6.375
"665","Plymouth-Shiloh Local","Richland","Region 7",226,94.6,11.9666666666667,0,9.16666666666667,0,9.16666666666667
"666","Poland Local","Mahoning","Region 5",454,94.625,9.775,0,3.5,0,3.5
"667","Port Clinton City","Ottawa","Region 1",413.5,95.025,9.05,0,0,4,4
"668","Portsmouth City","Scioto","Region 15",556.333333333333,93.3666666666667,19.7333333333333,0,30,0,30
"669","Preble Shawnee Local","Preble","Region 10",458.333333333333,94.3,12.7666666666667,0,14.3333333333333,0,14.3333333333333
"670","Princeton City","Hamilton","Region 13",521.363636363636,93.6272727272727,16.6,0,28.0363636363636,10,38.0363636363636
"671","Promise Academy","Cuyahoga","Region 3",202,35.6,99.6,0,10,0,10
"672","Put-In-Bay Local","Ottawa","Region 1",35.5,95.35,5.35,0,0,0,0
"673","Pymatuning Valley Local","Ashtabula","Region 5",376.666666666667,93.9666666666667,13.3333333333333,0,13.3333333333333,0,13.3333333333333
"674","Quaker Digital Academy","Tuscarawas","Region 12",475,81.7,31.6,0,0,0,0
"675","Ravenna City","Portage","Region 8",357.166666666667,93.0833333333333,19.3166666666667,0,30.3,87.0833333333333,117.383333333333
"676","REACH Academy","Lucas","Region 1",172,85.2,60.2,0,97,0,97
"677","Reading Community City","Hamilton","Region 13",380.75,93.425,17.925,0,13.75,0,13.75
"678","Regent High School","Cuyahoga","Region 3",195,41.5,98.1,0,16,0,16
"679","Renaissance Academy","Franklin","Region 11",121,86.5,51.3,0,0,0,0
"680","Revere Local","Summit","Region 8",665.5,96.3,4.5,0,0,0,0
"681","Reynoldsburg City","Franklin","Region 11",525.1,92.71,20.7,0,18.96,29.3,48.26
"682","Reynoldsburg City","Licking","Region 11",492.75,95.2,9.25,0,4.625,9.7,14.325
"683","Richard Allen Academy","Butler","Region 13",134,94.5,13.2,0,0,0,0
"684","Richard Allen Preparatory","Montgomery","Region 10",364,93.6,18.1,0,0,0,0
"685","Richmond Heights Local","Cuyahoga","Region 3",258,93.1666666666667,23.1,0,14.1666666666667,13.3333333333333,27.5
"686","Ridgedale Local","Marion","Region 7",317.5,93.9,15.45,0,6,0,6
"687","Ridgemont Local","Hardin","Region 6",255.5,94.4,12.35,0,0,0,0
"688","Ridgewood Local","Coshocton","Region 12",421.666666666667,95.6,5.43333333333333,0,0,0,0
"689","Ripley-Union-Lewis-Huntington Local","Brown","Region 14",253.666666666667,93.5,18.5,0,20.5,30.3333333333333,50.8333333333333
"690","Rise & Shine Academy","Lucas","Region 1",106,90.1,43.4,0,0,0,0
"691","Rittman Academy","Wayne","Region 9",32,61.8,89.4,0,0,0,0
"692","Rittman Exempted Village","Wayne","Region 9",320.333333333333,95.3333333333333,8.96666666666667,0,4.66666666666667,0,4.66666666666667
"693","River Gate High School","Trumbull","Region 5",171,39.8,98.3,0,0,0,0
"694","River Valley Local","Marion","Region 7",487,95.1,10.5,0,0,0,0
"695","River View Local","Coshocton","Region 12",323,94.9666666666667,8.93333333333333,0,7.33333333333333,9.33333333333333,16.6666666666667
"696","Riverdale Local","Hancock","Region 6",251.5,95.45,7,0,0,19,19
"697","Riverside Academy","Hamilton","Region 13",209,78,72.3,0,99.3,0,99.3
"698","Riverside Local","Lake","Region 4",484.125,95.1125,9.2125,0,21.75,2.375,24.125
"699","Riverside Local","Logan","Region 6",303,94.95,9.4,0,0,8.5,8.5
"700","Road to Success Academy","Franklin","Region 11",83,44.4,100,0,0,0,0
"701","Rock Hill Local","Lawrence","Region 15",459.333333333333,94.3333333333333,12.7,0,0,0,0
"702","Rocky River City","Cuyahoga","Region 3",659.25,96.45,4.175,0,2.7,6.175,8.875
"703","Rolling Hills Local","Guernsey","Region 12",307,93.72,17.8,0,8.5,0,8.5
"704","Rootstown Local","Portage","Region 8",378.333333333333,94.5333333333333,13.6666666666667,0,4,0,4
"705","Ross Local","Butler","Region 13",649.5,95.45,8.925,0,11.45,15,26.45
"706","Rossford Exempted Village","Wood","Region 1",377,94.175,13.65,0,14.075,12.425,26.5
"707","Russia Local","Shelby","Region 6",194,97.7,1.2,0,0,0,0
"708","Salem City","Columbiana","Region 5",411.2,92.82,19.52,0,2.4,9.2,11.6
"709","Sandusky City","Erie","Region 2",456,93.4285714285714,18.6714285714286,0,55.4714285714286,162.142857142857,217.614285714286
"710","Sandy Valley Local","Stark","Region 9",457.5,100,0,0,9,15,24
"711","Sandy Valley Local","Tuscarawas","Region 9",390,97.7,4.1,0,42,44,86
"712","Schnee Learning Center","Summit","Region 8",85,63.7,85.6,0,0,0,0
"713","Scioto Valley Local","Pike","Region 15",397.333333333333,93.4666666666667,17.9,0,13.3333333333333,41.3333333333333,54.6666666666667
"714","Sciotoville","Scioto","Region 15",388,91.4,34.7,0,29,0,29
"715","Sebring Local","Mahoning","Region 5",203,93.45,16.95,0,15,0,15
"716","Seneca East Local","Seneca","Region 7",287,96.2,3.76666666666667,0,0,39.6666666666667,39.6666666666667
"717","Shadyside Local","Belmont","Region 12",265.666666666667,94.2,12.8666666666667,0,0,0,0
"718","Shaker Heights City","Cuyahoga","Region 3",605.5,95.3625,8,0,30.6875,1.4375,32.125
"719","Shawnee Local","Allen","Region 6",581.5,95.35,8.05,0,5.125,0,5.125
"720","Sheffield-Sheffield Lake City","Lorain","Region 2",327.8,94.08,13.76,0,8,68,76
"721","Shelby City","Richland","Region 7",443.5,95.375,8.425,0,6,4.25,10.25
"722","Sidney City","Shelby","Region 6",520.333333333333,94.3333333333333,14.65,0,20.9166666666667,5.33333333333333,26.25
"723","SMART Academy","Cuyahoga","Region 3",41,89.3,48.4,0,0,0,0
"724","Solon City","Cuyahoga","Region 3",738.666666666667,96.5833333333333,3.01666666666667,0,28.5833333333333,14.6666666666667,43.25
"725","South-Western City","Franklin","Region 11",730.5,93.31,17.5,0.9,76.7033333333333,0,77.6033333333333
"726","South Central Local","Huron","Region 2",247.333333333333,95.6,5.4,0,0,7.33333333333333,7.33333333333333
"727","South Columbus Preparatory Academy","Franklin","Region 11",171,89,40.2,0,27,37.5,64.5
"728","South Euclid-Lyndhurst City","Cuyahoga","Region 3",549.166666666667,95.1666666666667,9.45,0,58.5,5.66666666666667,64.1666666666667
"729","South Point Local","Lawrence","Region 15",379,93.65,14.875,0,12,0,12
"730","South Range Local","Mahoning","Region 5",414,96.1,4.96666666666667,0,0,0,0
"731","South Scioto Academy","Franklin","Region 11",221,90.4,39.3,0,56.5,0,56.5
"732","Southeast Local","Holmes","Region 9",137,95.8,5.8,0,0,0,0
"733","Southeast Local","Portage","Region 8",372,93.975,13.85,0,30.75,45.25,76
"734","Southeast Local","Wayne","Region 9",242.6,95.3,7.86,0,0,8.8,8.8
"735","Southeastern Local","Clark","Region 10",244,94.8,11.6,0,0,0,0
"736","Southeastern Local","Ross","Region 15",338.666666666667,93.2333333333333,17.3,0,12.3333333333333,10,22.3333333333333
"737","Southern Local","Columbiana","Region 5",415.5,93.45,18.7,0,21.5,19,40.5
"738","Southern Local","Meigs","Region 16",362,93.15,19.85,0,0,12.5,12.5
"739","Southern Local","Perry","Region 16",330.5,92.15,26.25,0,0,55,55
"740","Southington Local","Trumbull","Region 5",161.666666666667,93.9333333333333,14.4666666666667,0,3.33333333333333,0,3.33333333333333
"741","Southside Academy","Mahoning","Region 5",149,84.6,56.6,0,57,0,57
"742","Southwest Licking Local","Licking","Region 11",814.8,94.56,11.02,0,22.72,127,149.72
"743","Southwest Local","Hamilton","Region 13",603.333333333333,94.2833333333333,13.9,0,15.9666666666667,8.16666666666667,24.1333333333333
"744","Southwest Ohio Preparatory School","Hamilton","Region 13",173,95.2,19.8,0,0,0,0
"745","Spencerville Local","Allen","Region 6",310,96.6333333333333,2.8,0,0,0,0
"746","Springboro Community City","Warren","Region 13",972,96.8,3,0,12.7166666666667,29.05,41.7666666666667
"747","Springfield City School District","Clark","Region 10",473,90.5333333333333,29.9466666666667,0,50.82,51.2333333333333,102.053333333333
"748","Springfield Local","Lucas","Region 1",584.666666666667,94.3666666666667,12.65,0,29.85,68.1666666666667,98.0166666666667
"749","Springfield Local","Mahoning","Region 5",314.333333333333,95.4666666666667,5.8,0,0,3.33333333333333,3.33333333333333
"750","Springfield Local","Summit","Region 8",538.25,93.35,19.8,0,60.05,68.25,128.3
"751","Springfield Preparatory and Fitness Academy","Clark","Region 10",148,92.2,26,0,0,0,0
"752","St Bernard-Elmwood Place City","Hamilton","Region 13",301.666666666667,92.3,24.4333333333333,0,42,81,123
"753","St Clairsville-Richland City","Belmont","Region 12",555.666666666667,94.1666666666667,12.6,0,0,7.66666666666667,7.66666666666667
"754","St Henry Consolidated Local","Mercer","Region 6",325,97.0666666666667,2.53333333333333,0,0,0,0
"755","St Marys City","Auglaize","Region 6",501,95.925,5.8,0,3.5,7.75,11.25
"756","Stambaugh Charter Academy","Mahoning","Region 5",443,91.4,32.1,0,70,0,70
"757","Star Academy of Toledo","Lucas","Region 1",157,86.5,57.4,0,0,0,0
"758","Stark High School","Stark","Region 9",123,60.2,87.1,0,0,0,0
"759","STEAM Academy of Akron","Summit","Region 8",158,90.7,41.1,0,70,0,70
"760","STEAM Academy of Warren","Trumbull","Region 5",210,90.2,36.2,0,43.5,0,43.5
"761","STEAM Academy of Warrensville Heights","Cuyahoga","Region 3",217,86.6,51.4,0,0,0,0
"762","Steel Academy","Summit","Region 8",96,84.1,48,0,0,0,0
"763","Steubenville City","Jefferson","Region 12",508.8,95.52,7.42,0,0,2.2,2.2
"764","Stow-Munroe Falls City School District","Summit","Region 8",575.888888888889,95.3888888888889,7.03333333333333,0,16.2444444444444,0,16.2444444444444
"765","Strasburg-Franklin Local","Tuscarawas","Region 12",266,96.55,4.65,0,0,0,0
"766","Streetsboro City","Portage","Region 8",537.5,94.875,11.475,0,21.875,0,21.875
"767","Strongsville City","Cuyahoga","Region 3",748,95.5857142857143,6.15714285714286,0,16.4428571428571,17.0857142857143,33.5285714285714
"768","Struthers City","Mahoning","Region 5",580.333333333333,92.6,20.7333333333333,0,35.6666666666667,0,35.6666666666667
"769","Stryker Local","Williams","Region 1",203.5,96,5.85,0,0,0,0
"770","Sullivant Avenue Community School","Franklin","Region 11",336,90.3,35.1,0,0,0,0
"771","Summit Academy-Youngstown","Mahoning","Region 5",212,89.2,42.9,0,0,0,0
"772","Summit Academy - Toledo","Lucas","Region 1",138,90.6,37.3,0,25.5,0,25.5
"773","Summit Academy Akron Elementary School","Summit","Region 8",122,90.6,35.7,0,0,0,0
"774","Summit Academy Akron Middle School","Summit","Region 8",76,90,33.8,0,0,22,22
"775","Summit Academy Alternative LearnersWarren Middle & Secondary","Trumbull","Region 5",97,83.3,46.4,0,13,0,13
"776","Summit Academy Community School-Columbus","Franklin","Region 11",59,88.8,44.2,0,13,0,13
"777","Summit Academy Community School-Parma","Cuyahoga","Region 3",186,88.9,42.2,0,30,0,30
"778","Summit Academy Community School-Warren","Trumbull","Region 5",127,89.7,42.1,0,0,0,0
"779","Summit Academy Community School - Cincinnati","Hamilton","Region 13",111,83.8,67,0,82,0,82
"780","Summit Academy Community School - Dayton","Montgomery","Region 10",78,91.8,31.4,0,0,0,0
"781","Summit Academy Community School - Painesville","Lake","Region 4",75,91.1,34,0,0,0,0
"782","Summit Academy Community School Alternative Learners-Lorain","Lorain","Region 2",95,90.7,36.5,0,10,0,10
"783","Summit Academy Community School Alternative Learners -Xenia","Greene","Region 10",195,89,37.3,0,20,0,20
"784","Summit Academy Community School for Alternative Learn-Canton","Stark","Region 9",143,93,22.7,0,0,0,0
"785","Summit Academy Middle School - Columbus","Franklin","Region 11",55,88.9,51.4,0,15,0,15
"786","Summit Academy School - Lorain","Lorain","Region 2",114,82.1,56.9,0,60,0,60
"787","Summit Academy Secondary - Akron","Summit","Region 8",67,87.6,47.6,0,0,0,0
"788","Summit Academy Secondary - Canton","Stark","Region 9",106,93.8,20.6,0,0,0,0
"789","Summit Academy Secondary - Youngstown","Mahoning","Region 5",179,90.6,31.5,0,0,0,0
"790","Summit Academy Secondary School - Middletown","Butler","Region 13",122,87.5,45.6,0,0,0,0
"791","Summit Academy Transition High School-Cincinnati","Hamilton","Region 13",81,88.2,37.8,0,0,0,0
"792","Summit Academy Transition High School-Columbus","Franklin","Region 11",56,82.7,67,0,35,0,35
"793","Summit Academy Transition High School Dayton","Montgomery","Region 10",171,85.6,50.7,0,0,0,0
"794","Summit Acdy Comm Schl for Alternative Learners of Middletown","Butler","Region 13",98,91.6,28.9,0,0,0,0
"795","SunBridge Schools","Lucas","Region 1",320,88.7,46.4,0,11.8,0,11.8
"796","Swanton Local","Fulton","Region 1",390.666666666667,94.8666666666667,10.3,0,0,9.66666666666667,9.66666666666667
"797","Switzerland of Ohio Local","Belmont","Region 12",141,91.7,21.9,0,15,15,30
"798","Switzerland of Ohio Local","Monroe","Region 12",252.857142857143,93.2428571428571,16.2,0,5.42857142857143,7.85714285714286,13.2857142857143
"799","Sycamore Community City","Hamilton","Region 13",771.285714285714,96.0857142857143,4.75714285714286,0,9.07142857142857,28,37.0714285714286
"800","Sylvania Schools","Lucas","Region 1",648.666666666667,95.3166666666667,8.61666666666667,0,5.625,1.75,7.375
"801","Symmes Valley Local","Lawrence","Region 15",380,93.9,13.05,0,0,0,0
"802","T.C.P. World Academy","Hamilton","Region 13",510,95.1,11.1,0,0,0,0
"803","T2 Honors Academy","Cuyahoga","Region 3",115,88.5,44.5,0,66.5,0,66.5
"804","Talawanda City","Butler","Region 13",576.6,94.52,11.56,0,5.8,6.6,12.4
"805","Tallmadge City","Summit","Region 8",589.25,95.275,9.375,0,8.8,14.375,23.175
"806","Teays Valley Local","Pickaway","Region 11",581.142857142857,94.4428571428571,11.0714285714286,0,5.57142857142857,12.2857142857143,17.8571428571429
"807","Tecumseh Local","Clark","Region 10",574.6,94.32,12.94,0,5.4,41.2,46.6
"808","The Academy for Urban Scholars","Franklin","Region 11",304,45.4,95.1,0,0,0,0
"809","The Autism Academy Of Learning","Lucas","Region 1",54,85.5,41.3,0,0,0,0
"810","The Richland School of Academic Arts","Richland","Region 7",314,95.3,8,0,18,0,18
"811","Three Rivers Local","Hamilton","Region 13",1058.5,94.05,15.2,0,14.5,0,14.5
"812","Tiffin City","Seneca","Region 7",491,95.02,9.62,0,12.4,18,30.4
"813","Tipp City Exempted Village","Miami","Region 10",499.8,96.08,5.24,0,4.2,8.4,12.6
"814","Toledo City","Lucas","Region 1",446.16,90.926,27.206,0,113.210204081633,118.642857142857,231.85306122449
"815","Toledo Preparatory and Fitness Academy","Lucas","Region 1",192,93.2,23.7,0,0,0,0
"816","Toledo School For The Arts","Lucas","Region 1",690,95,9.1,0,0,0,0
"817","Toledo SMART Elementary School","Lucas","Region 1",200,90.8,32.9,0,16,0,16
"818","Tomorrow Center","Morrow","Region 7",117,87.6,44.3,0,16,0,16
"819","Toronto City","Jefferson","Region 12",445,93,20.7,0,0,0,0
"820","Townsend North Community School","Erie","Region 2",1140,84.1,32.6,0,12.8,0,12.8
"821","Towpath Trail High School","Summit","Region 8",443,46.4,96.2,0,0,0,0
"822","TRECA Digital Academy","Marion","Region 7",1823,91.3,29,0,0,0,0
"823","Tri-County North Local","Preble","Region 10",258.333333333333,95,11.1666666666667,0,9.33333333333333,0,9.33333333333333
"824","Tri-State STEM+M Early College High School","Lawrence","Region 15",66,94.1,12.1,0,0,0,0
"825","Tri-Valley Local","Muskingum","Region 12",494.333333333333,95.1333333333333,8.6,0,0,0,0
"826","Tri-Village Local","Darke","Region 10",407.5,95.3,9.55,0,0,0,0
"827","Triad Local","Champaign","Region 6",265,93.8333333333333,11.9666666666667,0,10,0,10
"828","Trimble Local","Athens","Region 16",260.333333333333,91.4666666666667,23.1,0,8.66666666666667,0,8.66666666666667
"829","Triway Local","Wayne","Region 9",314.2,95.86,5.94,0,0,9.2,9.2
"830","Trotwood-Madison City","Montgomery","Region 10",514,91.78,27.84,0,74.04,21.9,95.94
"831","Trotwood Preparatory & Fitness Academy","Montgomery","Region 10",317,90.6,34.5,0,57,0,57
"832","Troy City","Miami","Region 10",451.555555555556,94.9333333333333,10.8888888888889,0,20.6333333333333,0,20.6333333333333
"833","Tuscarawas Valley Local","Tuscarawas","Region 12",323.75,95.95,5.025,0,2.5,0,2.5
"834","Tuslaw Local","Stark","Region 9",436.666666666667,98.6,0.466666666666667,0,0,5,5
"835","Twin Valley Community Local","Preble","Region 10",269.333333333333,95.1333333333333,9.43333333333333,0,8.23333333333333,0,8.23333333333333
"836","Twinsburg City","Summit","Region 8",837.2,95.8,6.74,0,23.64,49.2,72.84
"837","Union-Scioto Local","Ross","Region 15",699.666666666667,92.7666666666667,20.3,0,44.5,97.1666666666667,141.666666666667
"838","Union Local","Belmont","Region 12",483.666666666667,93.6,14.8,0,0,20.3333333333333,20.3333333333333
"839","United Local","Columbiana","Region 5",569.5,94.85,9.65,0,0,0,0
"840","United Preparatory Academy","Franklin","Region 11",297,92.9,24.2,0,112,0,112
"841","United Preparatory Academy East","Franklin","Region 11",97,91.6,25.7,0,0,0,0
"842","University Academy","Summit","Region 8",233,83.9,62.7,0,106,0,106
"843","University of Cleveland Preparatory School","Cuyahoga","Region 3",288,83.9,66.3,0,98,0,98
"844","Upper Arlington City","Franklin","Region 11",736.375,96.125,3.9375,0,3.775,0,3.775
"845","Upper Sandusky Exempted Village","Wyandot","Region 7",310.4,95.82,7.04,0,0,7.4,7.4
"846","Upper Scioto Valley Local","Hardin","Region 6",136.666666666667,92.6333333333333,24.3,0,10.6666666666667,0,10.6666666666667
"847","Urban Early College Network","Montgomery","Region 10",81,53.9,98,0,0,0,0
"848","Urbana City","Champaign","Region 6",646.666666666667,93.4666666666667,17.3333333333333,0,46.5,96.3333333333333,142.833333333333
"849","Utica Shale Academy of Ohio","Columbiana","Region 9",52,94.2,28.7,0,0,0,0
"850","Valley Local","Scioto","Region 15",349.333333333333,93.4333333333333,18.3333333333333,0,9.66666666666667,12.1666666666667,21.8333333333333
"851","Valley STEM+ME2 Academy","Mahoning","Region 5",201,91.4,30.3,0,28,102,130
"852","Valley View Local","Montgomery","Region 10",445.25,95.15,8.9,0,0,0,0
"853","Van Buren Local","Hancock","Region 1",353,96.8666666666667,1.86666666666667,0,0,0,0
"854","Van Wert City","Van Wert","Region 1",514.5,95.425,9.725,0,2.75,0,2.75
"855","Vandalia-Butler City","Montgomery","Region 10",563.8,95.18,8.58,0,2.26,9.9,12.16
"856","Vanlue Local","Hancock","Region 1",88.5,96.95,3.25,0,0,0,0
"857","Vermilion Local","Erie","Region 2",607.333333333333,93.9333333333333,13.6,0,0,0,0
