"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"159","Clinton-Massie Local","Clinton","Region 14",550,95.3333333333333,7.23333333333333,0,8.33333333333333,16.5,24.8333333333333
"160","Cloverleaf Local","Medina","Region 8",752.333333333333,95.0666666666667,9.73333333333333,0,14.6666666666667,0,14.6666666666667
"161","Clyde-Green Springs Exempted Village","Sandusky","Region 1",530.25,95.3,8.15,0,8.45,38.325,46.775
"162","Coldwater Exempted Village","Mercer","Region 6",442,96.3666666666667,3.56666666666667,0,0,0,0
"163","Colonel Crawford Local","Crawford","Region 7",229.25,95.95,4.25,0,0,3.5,3.5
"164","Columbia Local","Lorain","Region 2",276.666666666667,95.2,7.9,0,3.33333333333333,0,3.33333333333333
"165","Columbiana Exempted Village","Columbiana","Region 5",353.333333333333,94.3333333333333,12.5666666666667,0,0,0,0
"166","Columbus Arts & Technology Academy","Franklin","Region 11",569,90.9,29.7,0,111,0,111
"167","Columbus Bilingual Academy-North","Franklin","Region 11",296,91.8,27,0,0,0,0
"168","Columbus City School District","Franklin","Region 11",443.754545454545,88.0247706422018,40.4440366972477,0,68.8440366972477,96.743119266055,165.587155963303
"169","Columbus Collegiate Academy","Franklin","Region 11",237,92.5,26.5,0,71,0,71
"170","Columbus Collegiate Academy - West","Franklin","Region 11",240,89.4,36,0,92,0,92
"171","Columbus Grove Local","Putnam","Region 1",278.666666666667,97,3.5,0,0,0,0
"172","Columbus Humanities, Arts and Technology Academy","Franklin","Region 11",560,93.9,16.3,0,36,0,36
"173","Columbus Performance Academy","Franklin","Region 11",193,92.6,22.8,0,97,0,97
"174","Columbus Preparatory Academy","Franklin","Region 11",810,95.5,5.8,0,0,0,0
"175","Columbus Preparatory and Fitness Academy","Franklin","Region 11",419,91.9,24.6,0,29.5,0,29.5
"176","Conneaut Area City","Ashtabula","Region 5",387,93.425,17.55,0,11.575,0,11.575
"177","Conotton Valley Union Local","Carroll","Region 12",201.5,93.95,15.6,0,0,24,24
"178","Constellation Schools: Eastside Arts Academy","Cuyahoga","Region 3",126,90.9,31.4,0,0,0,0
"179","Constellation Schools: Elyria Community","Lorain","Region 2",488,94.3,12.7,0,15,0,15
"180","Constellation Schools: Lorain Community Elementary","Lorain","Region 2",182,93.1,19.9,0,0,0,0
"181","Constellation Schools: Lorain Community Middle","Lorain","Region 2",132,93.2,17.6,0,0,0,0
"182","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3",248,92,25.5,0,22,0,22
"183","Constellation Schools: Old Brooklyn Community Elementary","Cuyahoga","Region 3",329,94,16,0,0,0,0
"184","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3",268,94,15.3,0,0,0,0
"185","Constellation Schools: Parma Community","Cuyahoga","Region 3",1412,93.4,18,0,72,0,72
"186","Constellation Schools: Puritas Community Elementary","Cuyahoga","Region 3",202,93.1,22,0,0,0,0
"187","Constellation Schools: Puritas Community Middle","Cuyahoga","Region 3",173,94.6,13.3,0,0,0,0
"188","Constellation Schools: Stockyard Community Elementary","Cuyahoga","Region 3",255,91.3,29.2,0,21,0,21
"189","Constellation Schools: Stockyard Community Middle","Cuyahoga","Region 3",66,91.3,28.9,0,0,0,0
"190","Constellation Schools: Westpark Community Elementary","Cuyahoga","Region 3",315,93.2,21.1,0,0,0,0
"191","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3",224,93.8,18.7,0,12,0,12
"192","Constellation Schools: Westside Community School of the Arts","Cuyahoga","Region 3",326,91.8,25.5,0,16,0,16
"193","Continental Local","Putnam","Region 1",233,95.95,4.85,0,0,5.5,5.5
"194","Copley-Fairlawn City","Summit","Region 8",559.2,95.64,7.14,0,3.4,0,3.4
"195","Cornerstone Academy Community School","Franklin","Region 11",794,95.9,5.4,0,26,25,51
"196","Cory-Rawson Local","Hancock","Region 1",258.5,95.85,5.8,0,0,0,0
"197","Coshocton City","Coshocton","Region 12",766,94.5,11.2,0,9.5,103.25,112.75
"198","Coshocton Opportunity School","Coshocton","Region 12",40,89.6,31.1,0,0,0,0
"199","Coventry Local","Summit","Region 8",610.333333333333,94.1666666666667,13.3666666666667,0,12.6666666666667,46.1666666666667,58.8333333333333
"200","Covington Exempted Village","Miami","Region 10",252,95.9333333333333,6.2,0,0,0,0
"201","Crestline Exempted Village","Crawford","Region 7",237.5,93.35,17.2,0,9.5,22.25,31.75
"202","Crestview Local","Columbiana","Region 5",401.333333333333,93.8666666666667,14.2333333333333,0,0,0,0
"203","Crestview Local","Richland","Region 7",343,95.2666666666667,7.36666666666667,0,6.66666666666667,0,6.66666666666667
"204","Crestview Local","Van Wert","Region 1",266.333333333333,96.2666666666667,4.3,0,0,0,0
"205","Crestwood Local","Portage","Region 8",411.5,93.675,15.125,0,23.25,0,23.25
"206","Crooksville Exempted Village","Perry","Region 16",361.666666666667,94.4,13.5,0,0,0,0
"207","Cuyahoga Falls City","Summit","Region 8",498.777777777778,94.5777777777778,11.3777777777778,0,10,0,10
"208","Cuyahoga Heights Local","Cuyahoga","Region 3",266.666666666667,96.4333333333333,3.43333333333333,0,0,0,0
"209","Dalton Local","Wayne","Region 9",281,96,5.16666666666667,0,0,0,0
"210","Danbury Local","Ottawa","Region 1",178.333333333333,94.8,8.6,0,0,0,0
"211","Danville Local","Knox","Region 7",203.666666666667,95.4,8.2,0,0,0,0
"212","Dawson-Bryant Local","Lawrence","Region 15",359.666666666667,94.0333333333333,17.1666666666667,0,0,6.66666666666667,6.66666666666667
"213","Dayton Business Technology High School","Montgomery","Region 10",118,66,88.6,0,22,0,22
"214","Dayton City","Montgomery","Region 10",481.769230769231,88.8230769230769,35.6423076923077,0,107.46,0,107.46
"215","Dayton Early College Academy, Inc","Montgomery","Region 10",342,95.5,8.2,0,12.5,0,12.5
"216","Dayton Leadership Academies-Dayton View Campus","Montgomery","Region 10",435,92.4,26.9,0,103,0,103
"217","Dayton Regional STEM School","Montgomery","Region 10",652,96.2,5.6,0,0,0,0
"218","Dayton SMART Elementary School","Montgomery","Region 10",110,90,37.6,0,20,0,20
"219","DECA PREP","Montgomery","Region 10",905,93.4,20,0,144,39,183
"220","Deer Park Community City","Hamilton","Region 13",601.5,93.15,18.9,0,15.5,48,63.5
"221","Defiance City","Defiance","Region 1",804.666666666667,94.7333333333333,12.0333333333333,0,5,36.8333333333333,41.8333333333333
"222","Delaware City","Delaware","Region 11",797.428571428571,94.9285714285714,9.84285714285714,0,16.2142857142857,16,32.2142857142857
"223","Delphos City","Allen","Region 6",205.5,96.9,3.25,0,0,0,0
