,GEOID,District_Name,District_Name,population_number,school_no_poverty_num,school_poverty_num,less_than_10k,one_hunna_and_up,ten_to_19k,thirtyfive_to_49k,twenty_to_35k
28,3904375,"Cincinnati City School District, Ohio",Cincinnati City ,308726,51332,29959,2325,21966,3809,6916,6252
29,3904376,"Circleville City School District, Ohio",Circleville City ,14338,1915,662,279,1028,187,535,547
30,3904377,"Claymont City School District, Ohio",Claymont City ,10979,1711,593,205,481,236,426,439
31,3904378,"Cleveland Municipal School District, Ohio",Cleveland Municipal ,362449,51201,39324,5158,11178,9618,11295,12604
32,3904379,"Cleveland Heights-University Heights City School District, Ohio",Cleveland Heights-University Heights City ,51175,10837,4127,384,5526,493,1194,1165
33,3904380,"Columbus City School District, Ohio",Columbus City ,512902,78349,52109,2917,25242,5903,13089,12187
34,3904381,"Conneaut Area City School District, Ohio",Conneaut Area City ,12000,1710,557,197,662,255,679,721
35,3904382,"Coshocton City School District, Ohio",Coshocton City ,10675,1954,664,78,429,224,478,552
36,3904383,"Cuyahoga Falls City School District, Ohio",Cuyahoga Falls City ,38866,7529,1278,242,3103,651,1413,1266
37,3904384,"Dayton City School District, Ohio",Dayton City ,131302,19342,13562,1926,3959,3138,5062,5055
38,3904385,"Deer Park Community City School District, Ohio",Deer Park Community City ,11067,1931,168,117,1238,199,517,429
39,3904386,"Defiance City School District, Ohio",Defiance City ,15443,2799,989,56,1204,218,642,542
40,3904387,"Delaware City School District, Ohio",Delaware City ,36174,7891,941,206,3555,350,853,756
41,3904388,"Delphos City School District, Ohio",Delphos City ,9439,1914,122,48,842,167,335,399
42,3904389,"Dover City School District, Ohio",Dover City ,16022,3529,369,61,1307,220,715,611
43,3904390,"East Cleveland City School District, Ohio",East Cleveland City ,18918,2289,1883,369,401,419,724,506
44,3904391,"East Liverpool City School District, Ohio",East Liverpool City ,14872,2037,1059,145,559,348,522,849
45,3904392,"East Palestine City School District, Ohio",East Palestine City ,7679,1652,246,109,401,171,464,442
46,3904393,"Eaton Community City School District, Ohio",Eaton Community City ,13536,2878,315,144,1118,236,557,489
47,3904394,"Elyria City School District, Ohio",Elyria City ,49162,8403,3768,556,2409,1042,2125,1756
48,3904395,"Euclid City School District, Ohio",Euclid City ,44928,7597,3113,517,2064,981,1621,1470
49,3904396,"Fairborn City School District, Ohio",Fairborn City ,38493,7752,3523,250,2870,433,1102,842
50,3904397,"Fairview Park City School District, Ohio",Fairview Park City ,15286,3104,354,84,1939,176,644,469
51,3904399,"Fostoria City School District, Ohio",Fostoria City ,13176,1890,1168,159,623,418,743,695
52,3904400,"Franklin City School District, Ohio",Franklin City ,19937,3867,525,147,1528,204,804,597
53,3904401,"Fremont City School District, Ohio",Fremont City ,27181,5405,1044,259,1677,376,1237,1294
54,3904402,"Galion City School District, Ohio",Galion City ,12240,1949,729,114,493,245,642,757
55,3904403,"Gallipolis City School District, Ohio",Gallipolis City ,13231,1806,838,188,936,400,599,599
56,3904404,"Garfield Heights City School District, Ohio",Garfield Heights City ,24124,4566,1350,209,1354,492,1064,985
57,3904405,"Geneva Area City School District, Ohio",Geneva Area City ,15719,2603,624,210,961,363,525,768
58,3904406,"Girard City School District, Ohio",Girard City ,9949,1596,372,139,496,181,675,495
59,3904407,"Grandview Heights City School District, Ohio",Grandview Heights City ,8097,1538,89,55,1479,16,113,74
60,3904408,"Winton Woods City School District, Ohio",Winton Woods City ,24746,5171,1335,139,2081,152,943,683
61,3904409,"Greenville City School District, Ohio",Greenville City ,20419,3447,951,108,1309,530,1074,1001
62,3904410,"Hamilton City School District, Ohio",Hamilton City ,58163,10658,2836,459,2850,789,1938,2029
63,3904411,"Heath City School District, Ohio",Heath City ,10181,2042,429,30,930,268,239,397
