,GEOID,District_Name,District_Name,population_number,school_no_poverty_num,school_poverty_num,less_than_10k,one_hunna_and_up,ten_to_19k,thirtyfive_to_49k,twenty_to_35k
269,3904660,"Solon City School District, Ohio",Solon City ,22703,6175,401,155,4336,189,364,381
270,3904662,"Ansonia Local School District, Ohio",Ansonia Local ,3581,816,133,9,205,84,185,140
271,3904663,"Arcanum-Butler Local School District, Ohio",Arcanum-Butler Local ,5756,1287,113,21,529,80,267,146
272,3904664,"Franklin Monroe Local School District, Ohio",Franklin Monroe Local ,2949,629,17,1,340,18,158,159
273,3904667,"Mississinawa Valley Local School District, Ohio",Mississinawa Valley Local ,3480,616,184,62,189,83,75,115
274,3904668,"Tri-Village Local School District, Ohio",Tri-Village Local ,4007,742,117,61,270,51,248,211
275,3904670,"Ayersville Local School District, Ohio",Ayersville Local ,3499,752,16,20,180,59,192,195
276,3904671,"Central Local School District, Ohio",Central Local ,5545,1106,294,38,427,106,218,255
277,3904672,"Northeastern Local School District (Defiance County), Ohio",Northeastern Local ,6357,1284,162,38,903,82,256,286
278,3904674,"Big Walnut Local School District, Ohio",Big Walnut Local ,21019,5101,372,82,3213,198,468,353
279,3904675,"Buckeye Valley Local School District, Ohio",Buckeye Valley Local ,17105,3355,248,110,2793,43,611,401
280,3904676,"Olentangy Local School District, Ohio",Olentangy Local ,83505,25777,838,257,17804,269,1180,932
281,3904678,"Edison Local (formerly Berlin-Milan) School District, Ohio",Edison Local (formerly Berlin-Milan) ,8668,1698,178,18,924,121,310,274
282,3904679,"Kelleys Island Local School District, Ohio",Kelleys Island Local ,234,8,0,1,26,6,19,14
283,3904680,"Margaretta Local School District, Ohio",Margaretta Local ,7501,1694,160,118,744,69,421,289
284,3904681,"Perkins Local School District, Ohio",Perkins Local ,12885,2585,206,111,1486,148,486,423
285,3904682,"Vermilion Local School District, Ohio",Vermilion Local ,13504,2164,92,194,1328,99,707,454
286,3904684,"Amanda-Clearcreek Local School District, Ohio",Amanda-Clearcreek Local ,8661,1734,88,53,651,97,362,339
287,3904685,"Berne Union Local School District, Ohio",Berne Union Local ,5115,984,181,51,439,100,251,218
288,3904686,"Bloom-Carroll Local School District, Ohio",Bloom-Carroll Local ,11581,2801,153,30,1744,68,290,349
289,3904687,"Fairfield Union Local School District, Ohio",Fairfield Union Local ,10688,2174,300,104,1174,149,318,258
290,3904688,"Liberty Union-Thurston Local School District, Ohio",Liberty Union-Thurston Local ,7033,1611,299,87,782,113,281,152
291,3904689,"Pickerington Local School District, Ohio",Pickerington Local ,50134,14651,858,121,8006,236,877,805
292,3904690,"Walnut Township Local School District, Ohio",Walnut Township Local ,4219,623,81,19,451,117,221,211
293,3904694,"Canal Winchester Local School District, Ohio",Canal Winchester Local ,19262,5406,421,67,2508,35,574,396
294,3904695,"Hamilton Local School District, Ohio",Hamilton Local ,14230,2859,479,100,836,149,462,461
295,3904696,"Gahanna-Jefferson City School District, Ohio",Gahanna-Jefferson City ,46192,11042,1116,119,7597,506,851,850
296,3904697,"Groveport Madison Local School District, Ohio",Groveport Madison Local ,46408,10165,1904,185,2778,618,1262,886
297,3904699,"New Albany-Plain Local School District, Ohio",New Albany-Plain Local ,22633,7155,395,64,4509,97,263,118
298,3904700,"Reynoldsburg City School District, Ohio",Reynoldsburg City ,38993,9334,1256,206,3828,262,1183,863
299,3904701,"Hilliard City School District, Ohio",Hilliard City ,91248,23870,2433,276,14232,942,1989,1174
300,3904702,"Dublin City School District, Ohio",Dublin City ,82734,22459,1534,225,13669,379,1011,713
301,3904704,"Archbold Area Local School District, Ohio",Archbold Area Local ,6659,1598,67,24,585,91,306,171
302,3904705,"Evergreen Local School District, Ohio",Evergreen Local ,7262,1414,73,53,802,86,339,255
303,3904706,"Fayette Local School District, Ohio",Fayette Local ,2430,433,57,18,117,65,176,83
304,3904707,"Pettisville Local School District, Ohio",Pettisville Local ,2186,551,17,15,206,23,104,77
305,3904708,"Pike-Delta-York Local School District, Ohio",Pike-Delta-York Local ,7870,1867,80,31,797,150,386,267
306,3904709,"Swanton Local School District, Ohio",Swanton Local ,8764,1815,137,52,997,56,456,348
307,3904716,"Berkshire Local School District, Ohio",Berkshire Local ,12866,2535,210,126,1406,148,617,470
308,3904717,"Cardinal Local School District, Ohio",Cardinal Local ,14278,2857,373,45,833,146,519,453
309,3904718,"Chardon Local School District, Ohio",Chardon Local ,20691,4707,206,83,3287,220,752,538
310,3904719,"Kenston Local School District, Ohio",Kenston Local ,16990,4046,105,161,3810,152,373,286
311,3904721,"Newbury Local School District, Ohio",Newbury Local ,5340,975,40,17,815,64,454,117
312,3904722,"West Geauga Local School District, Ohio",West Geauga Local ,15288,3015,82,122,2911,317,408,525
313,3904724,"Beavercreek City School District, Ohio",Beavercreek City ,53127,13324,1413,213,8954,341,1198,941
314,3904725,"Cedar Cliff Local School District, Ohio",Cedar Cliff Local ,3825,958,182,8,465,33,144,94
315,3904726,"Greeneview Local School District, Ohio",Greeneview Local ,7928,1414,301,46,893,160,274,299
316,3904727,"Bellbrook-Sugarcreek Local School District, Ohio",Bellbrook-Sugarcreek Local ,15481,3788,151,76,2944,188,298,203
317,3904730,"Rolling Hills Local School District, Ohio",Rolling Hills Local ,10278,1664,698,139,673,271,481,587
318,3904733,"Finneytown Local School District, Ohio",Finneytown Local ,10930,2503,217,103,1292,142,283,306
319,3904734,"Forest Hills Local School District, Ohio",Forest Hills Local ,44654,11595,711,262,8231,280,982,1054
320,3904736,"Northwest Local School District (Butler and Hamilton Counties), Ohio",Northwest Local ,71744,15126,2769,416,8171,1191,2653,2379
321,3904737,"Oak Hills Local School District, Ohio",Oak Hills Local ,61613,14843,1237,433,8122,727,1859,2027
322,3904738,"Southwest Local School District, Ohio",Southwest Local ,23081,4746,638,156,2322,476,889,1001
323,3904739,"Three Rivers Local School District, Ohio",Three Rivers Local ,15527,3429,372,93,2606,88,605,461
324,3904742,"Arlington Local School District, Ohio",Arlington Local ,3348,664,78,12,388,92,90,137
325,3904743,"Cory-Rawson Local School District, Ohio",Cory-Rawson Local ,3854,735,156,31,535,67,124,94
326,3904744,"Liberty-Benton Local School District, Ohio",Liberty-Benton Local ,6841,1675,169,15,1091,93,281,245
327,3904745,"McComb Local School District, Ohio",McComb Local ,3694,820,40,21,348,99,145,146
328,3904747,"Vanlue Local School District, Ohio",Vanlue Local ,1674,351,28,0,159,9,121,45
329,3904749,"Hardin Northern Local School District, Ohio",Hardin Northern Local ,2456,402,91,22,210,54,164,115
330,3904750,"Ridgemont Local School District, Ohio",Ridgemont Local ,3584,591,124,61,286,64,156,114
331,3904751,"Riverdale Local School District, Ohio",Riverdale Local ,5793,1382,185,62,413,54,220,285
332,3904752,"Upper Scioto Valley Local School District, Ohio",Upper Scioto Valley Local ,3565,592,36,37,201,93,169,154
333,3904754,"Conotton Valley Union Local School District, Ohio",Conotton Valley Union Local ,3259,434,119,94,243,107,155,180
334,3904757,"Holgate Local School District, Ohio",Holgate Local ,2157,447,46,10,175,43,135,111
335,3904758,"Liberty Center Local School District, Ohio",Liberty Center Local ,5722,1206,155,25,530,75,291,223
336,3904759,"Patrick Henry Local School District, Ohio",Patrick Henry Local ,4883,978,152,35,409,77,190,219
337,3904761,"Bright Local School District, Ohio",Bright Local ,4868,669,236,44,277,116,231,349
338,3904762,"Fairfield Local School District, Ohio",Fairfield Local ,4874,1177,100,53,373,75,196,176
339,3904763,"Lynchburg-Clay Local School District, Ohio",Lynchburg-Clay Local ,5627,1125,382,94,299,211,305,159
340,3904768,"East Holmes Local School District, Ohio",East Holmes Local ,19572,4041,274,47,1432,58,469,298
341,3904769,"West Holmes Local School District, Ohio",West Holmes Local ,17950,3126,824,186,1101,252,692,593
342,3904771,"Monroeville Local School District, Ohio",Monroeville Local ,3690,674,131,18,469,57,157,70
343,3904772,"New London Local School District, Ohio",New London Local ,5546,924,326,80,404,187,250,298
344,3904773,"South Central Local School District, Ohio",South Central Local ,5106,1081,213,43,237,65,199,244
345,3904774,"Western Reserve Local School District (Erie and Huron Counties), Ohio",Western Reserve Local ,6138,1404,62,41,477,98,397,121
346,3904776,"Oak Hill Union Local School District, Ohio",Oak Hill Union Local ,6416,1024,297,86,302,236,417,230
347,3904778,"Buckeye Local School District (Belmont, Harrison, and Jefferson Counties); Ohio",Buckeye Local ,13682,2050,438,269,852,374,743,800
348,3904779,"Edison Local School District, Ohio",Edison Local ,13764,2126,577,167,1088,372,678,737
349,3904780,"Indian Creek Local School District, Ohio",Indian Creek Local ,18235,2666,970,137,1585,310,851,972
350,3904782,"Centerburg Local School District, Ohio",Centerburg Local ,6231,1515,106,35,792,33,164,85
351,3904783,"Danville Local School District, Ohio",Danville Local ,3550,843,130,6,259,57,154,122
352,3904785,"Fredericktown Local School District, Ohio",Fredericktown Local ,6240,1403,271,88,446,59,477,265
353,3904787,"Kirtland Local School District, Ohio",Kirtland Local ,7450,1684,210,54,1330,89,159,216
354,3904788,"Madison Local School District (Geauga and Lake Counties), Ohio",Madison Local ,17818,3868,464,82,1554,396,877,671
355,3904790,"Perry Local School District (Lake County), Ohio",Perry Local ,8711,1859,252,32,1164,85,375,299
356,3904792,"Dawson-Bryant Local School District, Ohio",Dawson-Bryant Local ,5676,1080,150,118,299,194,291,373
357,3904793,"Fairland Local School District, Ohio",Fairland Local ,10085,1811,320,182,568,157,329,565
358,3904794,"Rock Hill Local School District, Ohio",Rock Hill Local ,9457,1481,710,257,452,258,422,553
359,3904795,"South Point Local School District, Ohio",South Point Local ,11692,1855,801,192,557,350,296,482
360,3904796,"Symmes Valley Local School District, Ohio",Symmes Valley Local ,4028,904,170,63,194,116,290,168
361,3904798,"Johnstown-Monroe Local School District, Ohio",Johnstown-Monroe Local ,9781,2278,256,16,1169,82,390,314
362,3904799,"Lakewood Local School District, Ohio",Lakewood Local ,13965,2315,580,46,1317,305,664,636
363,3904800,"Licking Heights Local School District, Ohio",Licking Heights Local ,24118,5824,1060,101,3142,81,809,379
364,3904801,"Licking Valley Local School District, Ohio",Licking Valley Local ,10944,2406,338,85,866,102,486,285
365,3904802,"North Fork Local School District, Ohio",North Fork Local ,9732,1649,396,41,943,203,323,444
366,3904803,"Northridge Local School District (Delaware, Knox, and Licking Counties); Ohio",Northridge Local ,8741,1461,84,44,1036,81,249,300
367,3904804,"Southwest Licking Local School District, Ohio",Southwest Licking Local ,23753,5534,277,57,3163,198,765,490
368,3904807,"Benjamin Logan Local School District, Ohio",Benjamin Logan Local ,10497,2190,210,113,1146,189,400,342
369,3904808,"Indian Lake Local School District, Ohio",Indian Lake Local ,11256,1801,322,223,1120,350,497,725
370,3904809,"Riverside Local School District (Logan County), Ohio",Riverside Local ,3666,719,115,46,303,90,97,180
371,3904811,"Avon Local School District, Ohio",Avon Local ,21922,6732,257,54,4143,87,404,406
372,3904812,"Avon Lake City School District, Ohio",Avon Lake City ,22937,5677,243,127,3817,398,787,511
373,3904813,"Clearview Local School District, Ohio",Clearview Local ,5877,1005,308,46,222,212,258,201
374,3904814,"Columbia Local School District, Ohio",Columbia Local ,6605,1140,107,36,953,84,267,241
375,3904815,"Firelands Local School District, Ohio",Firelands Local ,12222,2685,114,39,1253,211,463,354
376,3904816,"Keystone Local School District, Ohio",Keystone Local ,11003,2564,104,60,1223,97,335,361
377,3904817,"Midview Local School District, Ohio",Midview Local ,19291,3687,505,123,2206,193,780,675
378,3904820,"Anthony Wayne Local School District, Ohio",Anthony Wayne Local ,26967,6184,343,214,4935,311,823,953
379,3904821,"Ottawa Hills Local School District, Ohio",Ottawa Hills Local ,4321,1363,11,0,1022,26,67,18
380,3904822,"Springfield Local School District (Lucas County), Ohio",Springfield Local ,27981,5797,1055,60,3334,241,750,583
381,3904823,"Washington Local School District, Ohio",Washington Local ,46921,8597,2177,417,3209,798,2094,1456
382,3904825,"Jefferson Local School District, Ohio",Jefferson Local ,6762,1267,91,27,695,155,242,246
383,3904826,"Jonathan Alder Local School District, Ohio",Jonathan Alder Local ,11430,2634,447,29,1533,148,390,194
384,3904827,"Madison-Plains Local School District, Ohio",Madison-Plains Local ,8012,1797,187,44,804,74,248,278
385,3904829,"Austintown Local School District, Ohio",Austintown Local ,33229,5629,1222,427,2328,666,1606,1515
386,3904830,"Boardman Local School District, Ohio",Boardman Local ,33626,6592,895,264,3131,583,1224,1493
387,3904831,"Canfield Local School District, Ohio",Canfield Local ,17711,4010,270,120,2727,210,565,401
388,3904832,"Jackson-Milton Local School District, Ohio",Jackson-Milton Local ,5802,1057,58,51,488,129,346,258
389,3904833,"Lowellville Local School District, Ohio",Lowellville Local ,2018,423,56,24,172,41,61,76
390,3904834,"Poland Local School District, Ohio",Poland Local ,14312,3020,92,129,2279,148,470,401
391,3904835,"Sebring Local School District, Ohio",Sebring Local ,3957,626,238,35,127,138,175,191
392,3904836,"South Range Local School District, Ohio",South Range Local ,6354,1280,86,37,689,61,229,195
393,3904837,"Springfield Local School District (Mahoning County), Ohio",Springfield Local ,7538,1435,261,89,799,133,547,375
394,3904838,"West Branch Local School District, Ohio",West Branch Local ,12305,2391,367,146,1032,299,658,579
395,3904839,"Western Reserve Local School District (Mahoning County), Ohio",Western Reserve Local ,3968,638,40,24,403,83,196,143
396,3904841,"Elgin Local School District, Ohio",Elgin Local ,5784,973,68,52,407,161,397,204
397,3904842,"Pleasant Local School District, Ohio",Pleasant Local ,8321,1555,283,44,1047,141,410,274
398,3904843,"Ridgedale Local School District, Ohio",Ridgedale Local ,5047,861,239,147,525,52,254,137
399,3904844,"River Valley Local School District, Ohio",River Valley Local ,11010,2181,107,82,1111,264,483,430
400,3904846,"Black River Local School District, Ohio",Black River Local ,9694,1736,361,104,949,57,442,603
401,3904847,"Buckeye Local School District (Lorain and Medina Counties), Ohio",Buckeye Local ,13940,2935,149,58,2163,135,482,495
402,3904848,"Cloverleaf Local School District, Ohio",Cloverleaf Local ,19324,3624,306,149,2027,326,810,815
403,3904849,"Highland Local School District (Medina and Summit Counties), Ohio",Highland Local ,18380,4903,156,147,3333,184,520,666
404,3904851,"Eastern Local School District (Meigs County), Ohio",Eastern Local ,5260,888,238,19,377,148,337,292
405,3904852,"Meigs Local School District, Ohio",Meigs Local ,11133,1703,629,318,587,397,463,649
406,3904853,"Southern Local School District (Meigs County), Ohio",Southern Local ,4550,747,244,110,409,109,233,219
407,3904857,"Parkway Local School District, Ohio",Parkway Local ,5490,1197,162,84,437,60,293,272
408,3904858,"St. Henry Consolidated Local School District, Ohio",St. Henry Consolidated Local ,4019,1058,10,13,529,21,120,54
409,3904859,"Fort Recovery Local School District, Ohio",Fort Recovery Local ,3725,1030,113,28,378,34,145,129
410,3904861,"Bethel Local School District, Ohio",Bethel Local ,7489,1698,124,76,1112,36,309,246
411,3904862,"Miami East Local School District, Ohio",Miami East Local ,6646,1500,217,23,888,92,157,158
412,3904863,"Newton Local School District, Ohio",Newton Local ,3151,553,13,13,299,100,85,122
413,3904865,"Switzerland of Ohio Local School District, Ohio",Switzerland of Ohio Local ,16937,2513,782,338,1006,438,928,1068
414,3904867,"Brookville Local School District, Ohio",Brookville Local ,9622,2248,121,45,1038,141,397,251
415,3904868,"Jefferson Township Local School District, Ohio",Jefferson Township Local ,6014,929,179,113,489,98,351,389
416,3904869,"Trotwood-Madison City School District, Ohio",Trotwood-Madison City ,18880,2512,2017,160,785,282,837,786
417,3904870,"Mad River Local School District, Ohio",Mad River Local ,20454,3838,1226,106,1047,328,926,670
418,3904871,"New Lebanon Local School District, Ohio",New Lebanon Local ,6731,1076,451,17,351,144,221,245
419,3904872,"Northmont City School District, Ohio",Northmont City ,32862,6828,741,235,3724,307,990,1078
420,3904873,"Northridge Local School District (Montgomery County), Ohio",Northridge Local ,9454,988,1184,189,307,321,378,544
421,3904874,"Valley View Local School District, Ohio",Valley View Local ,10170,2086,241,56,1167,160,453,404
422,3904875,"Huber Heights City School District, Ohio",Huber Heights City ,40321,9775,1590,333,3237,455,1444,1239
423,3904877,"Morgan Local School District, Ohio",Morgan Local ,13279,1637,732,272,650,504,938,764
424,3904879,"Cardington-Lincoln Local School District, Ohio",Cardington-Lincoln Local ,6926,1531,135,30,450,80,263,221
425,3904880,"Highland Local School District (Delaware and Morrow Counties), Ohio",Highland Local ,9862,1941,331,71,1016,130,317,238
426,3904881,"Northmor Local School District, Ohio",Northmor Local ,8651,1612,220,71,650,200,411,283
427,3904883,"East Muskingum Local School District, Ohio",East Muskingum Local ,11682,2652,504,63,949,181,566,482
428,3904884,"Franklin Local School District, Ohio",Franklin Local ,12151,2358,483,182,788,325,702,417
429,3904885,"Maysville Local School District, Ohio",Maysville Local ,10324,2010,153,160,511,319,579,641
430,3904887,"Tri-Valley Local School District, Ohio",Tri-Valley Local ,16116,3398,578,97,1457,287,793,643
431,3904888,"West Muskingum Local School District, Ohio",West Muskingum Local ,13020,2253,296,162,1247,192,513,503
432,3904890,"Noble Local School District, Ohio",Noble Local ,5948,957,233,111,314,230,342,265
433,3904892,"Benton-Carroll-Salem Local School District, Ohio",Benton-Carroll-Salem Local ,9932,1646,413,33,1097,212,408,469
434,3904893,"Danbury Local School District, Ohio",Danbury Local ,4990,507,94,100,625,118,270,348
435,3904894,"Genoa Area Local School District, Ohio",Genoa Area Local ,7833,1688,77,115,989,109,333,229
436,3904895,"Middle Bass Local School District, Ohio",Middle Bass Local ,102,7,6,0,11,2,7,7
437,3904896,"North Bass Local School District, Ohio",North Bass Local ,0,0,0,0,0,0,0,0
438,3904897,"Put-in-Bay Local School District, Ohio",Put-in-Bay Local ,361,35,4,9,51,10,13,19
439,3904899,"Antwerp Local School District, Ohio",Antwerp Local ,3537,556,83,26,371,142,200,181
440,3904900,"Twin Valley Community Local School District, Ohio",Twin Valley Community Local ,5394,1187,46,25,439,68,250,205
441,3904903,"Wayne Trace Local School District, Ohio",Wayne Trace Local ,5392,1112,130,88,417,86,214,214
442,3904905,"Northern Local School District, Ohio",Northern Local ,13305,2719,264,132,1199,334,451,317
443,3904906,"Southern Local School District (Hocking and Perry Counties), Ohio",Southern Local ,3504,488,185,78,185,145,150,165
444,3904908,"Logan Elm Local School District, Ohio",Logan Elm Local ,12560,2119,448,96,1345,150,511,622
445,3904909,"Teays Valley Local School District, Ohio",Teays Valley Local ,19082,4969,204,161,2258,107,599,374
446,3904910,"Westfall Local School District, Ohio",Westfall Local ,8211,1396,328,60,880,117,298,187
447,3904912,"Eastern Local School District (Jackson, Pike, and Scioto Counties); Ohio",Eastern Local ,4409,789,181,52,310,135,187,285
448,3904913,"Scioto Valley Local School District, Ohio",Scioto Valley Local ,7659,1275,494,136,490,112,304,391
449,3904914,"Waverly City School District, Ohio",Waverly City ,10953,2217,385,63,768,186,423,298
450,3904915,"Western Local School District, Ohio",Western Local ,4930,986,295,130,243,27,262,236
451,3904917,"Aurora City School District, Ohio",Aurora City ,15823,3816,231,73,2708,144,410,406
452,3904918,"Crestwood Local School District, Ohio",Crestwood Local ,13354,2256,392,93,1420,308,498,351
453,3904919,"Field Local School District, Ohio",Field Local ,16232,3170,674,76,1607,201,472,751
454,3904920,"James A. Garfield Local School District, Ohio",James A. Garfield Local ,8707,1688,306,69,528,132,507,295
455,3904921,"Rootstown Local School District, Ohio",Rootstown Local ,7882,1816,360,56,846,90,306,269
456,3904922,"Southeast Local School District (Portage County), Ohio",Southeast Local ,11276,2426,275,46,982,186,499,444
457,3904923,"Streetsboro City School District, Ohio",Streetsboro City ,15281,2919,512,34,1340,216,657,611
458,3904924,"Waterloo Local School District, Ohio",Waterloo Local ,7901,1780,114,71,705,119,399,216
459,3904926,"Tri-County North Local School District, Ohio",Tri-County North Local ,5344,918,197,23,471,87,347,246
460,3904927,"National Trail Local School District, Ohio",National Trail Local ,6204,1001,325,75,353,167,333,274
461,3904928,"Preble Shawnee Local School District, Ohio",Preble Shawnee Local ,8553,1669,194,77,699,126,518,357
462,3904931,"Columbus Grove Local School District, Ohio",Columbus Grove Local ,4369,971,110,60,342,87,241,137
463,3904932,"Continental Local School District, Ohio",Continental Local ,3487,638,145,117,400,51,163,179
464,3904933,"Jennings Local School District, Ohio",Jennings Local ,1545,288,10,12,190,53,67,43
465,3904934,"Kalida Local School District, Ohio",Kalida Local ,3490,882,51,10,514,23,143,59
466,3904935,"Leipsic Local School District, Ohio",Leipsic Local ,3387,867,214,40,239,88,169,78
467,3904936,"Miller City-New Cleveland Local School District, Ohio",Miller City-New Cleveland Local ,2104,568,0,7,251,13,61,68
468,3904937,"Ottawa-Glandorf Local School District, Ohio",Ottawa-Glandorf Local ,8445,1976,104,23,1239,90,331,305
469,3904938,"Ottoville Local School District, Ohio",Ottoville Local ,2435,589,0,3,351,26,93,96
470,3904939,"Pandora-Gilboa Local School District, Ohio",Pandora-Gilboa Local ,3292,804,45,4,391,10,129,128
471,3904941,"Clear Fork Valley Local School District, Ohio",Clear Fork Valley Local ,10128,2126,147,59,900,221,408,443
472,3904942,"Crestview Local School District (Ashland and Richland Counties), Ohio",Crestview Local ,7448,1449,247,63,612,144,259,224
473,3904943,"Lexington Local School District, Ohio",Lexington Local ,15765,3651,292,162,1491,174,785,432
474,3904944,"Lucas Local School District, Ohio",Lucas Local ,3229,655,59,0,205,77,141,154
475,3904945,"Madison Local School District (Richland County), Ohio",Madison Local ,20564,3413,909,255,730,477,1385,1174
476,3904946,"Plymouth-Shiloh Local School District, Ohio",Plymouth-Shiloh Local ,4173,711,204,26,197,71,191,161
477,3904947,"Ontario Local School District, Ohio",Ontario Local ,10414,2290,62,18,1153,133,391,537
478,3904949,"Adena Local School District, Ohio",Adena Local ,6691,1493,313,51,664,138,292,298
479,3904950,"Huntington Local School District, Ohio",Huntington Local ,6113,895,529,120,353,234,293,321
480,3904951,"Paint Valley Local School District, Ohio",Paint Valley Local ,5154,719,352,52,397,141,275,297
481,3904952,"Southeastern Local School District (Ross County), Ohio",Southeastern Local ,6138,1364,35,118,376,70,216,345
482,3904953,"Union-Scioto Local School District, Ohio",Union-Scioto Local ,11166,2432,447,61,1280,276,278,359
483,3904954,"Zane Trace Local School District, Ohio",Zane Trace Local ,9370,1659,285,76,835,81,420,350
484,3904956,"Lakota Local School District (Sandusky, Seneca, and Wood Counties); Ohio",Lakota Local ,6149,1181,226,66,497,97,220,280
485,3904957,"Woodmore Local School District, Ohio",Woodmore Local ,6541,1298,243,55,757,123,255,198
486,3904959,"Bloom-Vernon Local School District, Ohio",Bloom-Vernon Local ,4961,1017,200,208,321,182,153,255
487,3904961,"Green Local School District (Scioto County), Ohio",Green Local ,3459,583,163,72,256,77,147,206
488,3904962,"Minford Local School District, Ohio",Minford Local ,7131,1548,237,46,662,230,302,293
489,3904963,"Northwest Local School District (Scioto County), Ohio",Northwest Local ,8659,1479,415,121,385,260,698,423
490,3904964,"Valley Local School District, Ohio",Valley Local ,4887,666,207,112,540,106,166,257
491,3904965,"Washington-Nile Local School District, Ohio",Washington-Nile Local ,7335,1337,433,183,424,277,343,409
492,3904966,"Wheelersburg Local School District, Ohio",Wheelersburg Local ,7920,1484,318,126,710,122,274,300
493,3904968,"Seneca East Local School District, Ohio",Seneca East Local ,4724,1136,91,15,413,86,231,169
494,3904970,"Hopewell-Loudon Local School District, Ohio",Hopewell-Loudon Local ,4084,981,17,24,404,82,210,106
495,3904971,"New Riegel Local School District, Ohio",New Riegel Local ,1789,424,14,3,186,28,68,109
496,3904976,"Botkins Local School District, Ohio",Botkins Local ,2361,660,15,7,263,39,111,41
497,3904977,"Fairlawn Local School District, Ohio",Fairlawn Local ,2360,497,111,14,244,44,95,99
498,3904978,"Fort Loramie Local School District, Ohio",Fort Loramie Local ,3488,891,11,12,415,66,193,93
499,3904979,"Hardin-Houston Local School District, Ohio",Hardin-Houston Local ,4493,1046,117,11,432,24,190,237
500,3904981,"Russia Local School District, Ohio",Russia Local ,1788,511,13,5,215,19,54,51
501,3904983,"Canton Local School District, Ohio",Canton Local ,11680,2262,401,121,936,238,720,780
502,3904984,"Fairless Local School District, Ohio",Fairless Local ,11095,2155,285,143,777,272,556,393
503,3904985,"Jackson Local School District, Ohio",Jackson Local ,36031,7958,563,139,5355,218,1155,801
504,3904986,"Lake Local School District (Portage and Stark Counties), Ohio",Lake Local ,19253,4544,180,135,2530,302,640,589
505,3904987,"Louisville City School District, Ohio",Louisville City ,17460,3478,346,105,1696,274,720,583
506,3904988,"Marlington Local School District, Ohio",Marlington Local ,15171,3110,565,126,1439,151,584,443
507,3904989,"Minerva Local School District, Ohio",Minerva Local ,11140,1900,470,65,693,146,481,554
508,3904990,"Northwest Local School District (Stark, Summit, and Wayne Counties); Ohio",Northwest Local ,12793,2561,124,58,1539,208,487,332
509,3904991,"Osnaburg Local School District, Ohio",Osnaburg Local ,5259,1019,45,51,343,45,320,237
510,3904992,"Perry Local School District (Stark County), Ohio",Perry Local ,28761,5617,724,200,2493,556,1746,1071
511,3904993,"Plain Local School District, Ohio",Plain Local ,45581,7976,1606,445,4467,705,1936,1711
512,3904994,"Sandy Valley Local School District, Ohio",Sandy Valley Local ,8236,1381,291,64,698,166,302,354
513,3904995,"Tuslaw Local School District, Ohio",Tuslaw Local ,9204,2152,119,53,938,184,531,328
514,3904997,"Woodridge Local School District, Ohio",Woodridge Local ,17470,3268,583,144,1835,142,578,376
515,3904998,"Copley-Fairlawn City School District, Ohio",Copley-Fairlawn City ,20132,4315,348,163,2878,229,594,385
516,3904999,"Coventry Local School District, Ohio",Coventry Local ,13213,2155,199,137,1185,307,499,483
517,3905000,"Manchester Local School District (Summit County), Ohio",Manchester Local ,8857,2023,50,83,1036,119,278,302
518,3905001,"Green Local School District (Summit County), Ohio",Green Local ,24685,5663,1189,181,3234,342,570,545
519,3905002,"Hudson City School District, Ohio",Hudson City ,23145,6129,141,45,5353,125,339,289
520,3905003,"Mogadore Local School District, Ohio",Mogadore Local ,3517,748,34,0,264,71,94,138
521,3905004,"Nordonia Hills City School District, Ohio",Nordonia Hills City ,31435,7121,206,144,5266,352,743,1058
522,3905005,"Revere Local School District, Ohio",Revere Local ,19591,4850,193,203,4023,155,400,405
523,3905006,"Springfield Local School District (Portage and Summit Counties), Ohio",Springfield Local ,18285,2986,242,211,1221,776,1114,801
524,3905007,"Twinsburg City School District, Ohio",Twinsburg City ,24440,5722,733,158,3810,279,709,643
525,3905009,"Bloomfield-Mespo Local School District, Ohio",Bloomfield-Mespo Local ,4209,752,245,28,206,33,122,89
526,3905011,"Bristol Local School District, Ohio",Bristol Local ,5108,887,124,19,369,111,242,151
527,3905012,"Brookfield Local School District, Ohio",Brookfield Local ,8070,1025,309,145,617,310,388,486
528,3905013,"Champion Local School District, Ohio",Champion Local ,8984,2137,158,68,861,135,399,403
529,3905015,"Mathews Local School District, Ohio",Mathews Local ,6623,832,233,75,664,125,344,320
530,3905016,"Howland Local School District, Ohio",Howland Local ,20847,3485,686,209,1742,514,963,787
531,3905017,"Joseph Badger Local School District, Ohio",Joseph Badger Local ,6171,1082,265,30,517,122,236,368
532,3905018,"Lakeview Local School District, Ohio",Lakeview Local ,11678,2138,201,137,1419,243,589,368
533,3905019,"Liberty Local School District, Ohio",Liberty Local ,11026,2296,571,129,951,342,476,452
534,3905020,"Lordstown Local School District, Ohio",Lordstown Local ,3231,454,133,44,302,118,207,183
535,3905021,"Maplewood Local School District, Ohio",Maplewood Local ,4910,723,98,91,338,143,347,209
536,3905022,"McDonald Local School District, Ohio",McDonald Local ,3843,889,97,86,244,103,281,160
537,3905023,"Southington Local School District, Ohio",Southington Local ,3463,681,30,30,342,103,113,208
538,3905024,"LaBrae Local School District, Ohio",LaBrae Local ,7312,916,556,81,365,161,360,295
539,3905025,"Weathersfield Local School District, Ohio",Weathersfield Local ,4866,904,85,34,317,162,309,298
